Name,BitMask,Format,Description
DOMask_Poke0,1<<0,U16,Output of Poke0
DOMask_Poke1,1<<1,U16,Output of Poke1
DOMask_Poke2,1<<2,U16,Output of Poke2
PwmMask_DO0,1<<0,U8,Pwm channel 0
PwmMask_DO1,1<<1,U8,Pwm channel 1
